브랜드,유통채널,채널명,아이템_중분류,아이템_소분류,아이템코드,합계 : 판매금액(TAG가),합계 : 실판매액,합계 : 실판매액(V-),합계 : 출고매출액(V-) Actual,매출원가(평가감환입반영),매출총이익
I,1.0,백화점,Acc_etc,기타,ET,3412164,3082648,2802365,1785867,851374,934493
I,1.0,백화점,Acc_etc,머플러(스카프),MF,934124,807876,734430,462690,183312,279378
I,1.0,백화점,Acc_etc,양말,SO,10230060,9750413,8863795,5660665,2422304,3238361
I,1.0,백화점,Acc_etc,장갑,GL,1700721,1608368,1462162,926683,429338,497345
I,1.0,백화점,Bag,가방,BG,2255567,2123985,1930869,1227182,567936,659246
I,1.0,백화점,Bag,백팩,BK,750488505,626813996,569831411,363212921,170419943,192792978
I,1.0,백화점,Bag,보조가방,UB,10966905,9834391,8940373,5688255,2721421,2966834
I,1.0,백화점,Bag,슬링백,SG,1694020,1577556,1434140,908802,371591,537211
I,1.0,백화점,Bag,크로스백,CR,1505808452,1479780273,1345254837,850966942,382463520,468503422
I,1.0,백화점,Bag,힙색,HS,553505,506062,460052,295080,108752,186328
I,1.0,백화점,Headwear,방한모,WM,7491751,6819624,6199656,3962638,1465543,2497095
I,1.0,백화점,Headwear,비니,BN,18994738,17786851,16169799,10285276,3539051,6746225
I,1.0,백화점,Headwear,와이어캡,WR,1576082,1438832,1308017,834182,302267,531915
I,1.0,백화점,Headwear,운동모,CP,162144812,153113727,139193910,88995465,34268686,54726779
I,1.0,백화점,Headwear,햇,HT,2805051,2510246,2282072,1456801,550581,906220
I,1.0,백화점,Shoes,런닝화,RN,233928921,197485546,179532290,114653440,57802694,56850746
I,1.0,백화점,Shoes,방한화,WB,10966905,9315972,8469048,5332690,2707358,2625332
I,1.0,백화점,Shoes,스니커즈,SX,40632363,36731345,33392150,21285717,8944191,12341526
I,1.0,백화점,Shoes,신발,SH,178105324,167538591,152307919,97412605,40853809,56558796
I,1.0,백화점,과시즌의류,맨투맨,MT,65392667,32696173,29723738,20012500,16824449,3188051
I,1.0,백화점,과시즌의류,맨투맨셋트,S2,173678624,86838722,78944207,54971861,46781785,8190076
I,1.0,백화점,과시즌의류,반팔카라티셔츠,TS,1724845,1636231,1487505,941873,405767,536106
I,1.0,백화점,과시즌의류,반팔티 & 스웨트팬츠,S1,92474,83227,75660,47666,23519,24147
I,1.0,백화점,과시즌의류,베이비,BV,5693195,5507951,5007216,3182997,1716258,1466739
I,1.0,백화점,과시즌의류,점퍼,JP,15353399,7676673,6978766,4928771,4333818,594953
I,1.0,백화점,당시즌의류,다운베스트,DV,8500926,7748937,7044484,4488360,2326547,2161813
I,1.0,백화점,당시즌의류,다운점퍼,DJ,161143678,143536790,130487954,83245369,41004484,42240885
I,1.0,백화점,당시즌의류,레깅스,LG,211753,190577,173251,111074,60299,50775
I,1.0,백화점,당시즌의류,맨투맨,MT,29007417,25682352,23347537,14823158,7981469,6841689
I,1.0,백화점,당시즌의류,맨투맨셋트,S2,47045248,42654197,38776541,24703801,12855906,11847895
I,1.0,백화점,당시즌의류,반팔카라티셔츠,TS,643299,547608,497826,313628,172552,141076
I,1.0,백화점,당시즌의류,방풍자켓,WJ,186289,167660,152418,96023,47994,48029
I,1.0,백화점,당시즌의류,스커트,SK,119278,107350,97591,61482,33391,28091
I,1.0,백화점,당시즌의류,우븐팬츠,WP,12871338,11143155,10130107,6426362,3361537,3064825
I,1.0,백화점,당시즌의류,점퍼,JP,3463092,3089376,2808523,1777759,879852,897907
I,1.0,백화점,당시즌의류,진바지,DP,6722473,5943049,5402772,3434267,1645478,1788789
I,1.0,백화점,당시즌의류,패딩,PD,5114226,4870563,4427779,2808135,1459038,1349097
I,1.0,백화점,당시즌의류,팬츠,PT,10722987,9610188,8736469,5575104,2802913,2772191
I,1.0,백화점,당시즌의류,폴라폴리스점퍼,FD,2049175,1807000,1642727,1045076,571690,473386
I,1.0,백화점,당시즌의류,후드티,HD,5667731,5182952,4711773,2974558,1577909,1396649
I,1.0,백화점,차시즌의류,맨투맨,MT,132339973,123524380,112294879,71504474,34312675,37191799
I,1.0,백화점,차시즌의류,맨투맨셋트,S2,508547833,477088966,433716825,276957832,128710674,148247158
I,1.0,백화점,차시즌의류,반바지,SP,3823607,3413531,3103208,1967077,817047,1150030
I,1.0,백화점,차시즌의류,반팔카라티셔츠,TS,76935860,71150084,64681824,41199236,18276925,22922311
I,1.0,백화점,차시즌의류,반팔티 & 스웨트팬츠,S1,12135565,11380747,10346108,6668528,2943577,3724951
I,1.0,백화점,차시즌의류,방풍자켓,WJ,59534627,55544968,50495470,32216727,14309613,17907114
I,1.0,백화점,차시즌의류,스커트,SK,4536597,4193866,3812626,2423012,1099150,1323862
I,1.0,백화점,차시즌의류,우븐반바지,SM,5955875,5518003,5016360,3205978,1387645,1818333
I,1.0,백화점,차시즌의류,우븐셔츠,WS,8523710,8058832,7326221,4657086,1784748,2872338
I,1.0,백화점,차시즌의류,우븐팬츠,WP,67672357,63270169,57518217,36739086,16508203,20230883
I,1.0,백화점,차시즌의류,원피스,OP,2653608,2497782,2270685,1448599,688044,760555
I,1.0,백화점,차시즌의류,점퍼,JP,325566840,301841765,274401591,174759791,78361127,96398664
I,1.0,백화점,차시즌의류,진바지,DP,85061529,78915144,71740929,45686750,21861829,23824921
