브랜드,유통채널,채널명,아이템_중분류,아이템소분류,아이템코드,판매금액(TAG가),실판매액
I,1,백화점,Acc_etc,PET,PE,1682000,1661990
I,1,백화점,Acc_etc,기타,ET,1846000,1819710
I,1,백화점,Acc_etc,머플러(스카프),MF,1534000,1277140
I,1,백화점,Acc_etc,양말,SO,6540800,6349000
I,1,백화점,Acc_etc,장갑,GL,5904000,5793340
I,1,백화점,Bag,가방,BG,3366000,3352840
I,1,백화점,Bag,백팩,BK,363568000,354560590
I,1,백화점,Bag,보조가방,UB,3780000,3707810
I,1,백화점,Bag,슬링백,SG,3555000,3435860
I,1,백화점,Bag,크로스백,CR,58481000,52574660
I,1,백화점,Bag,힙색,HS,236000,221300
I,1,백화점,Headwear,방한모,WM,27324000,26400870
I,1,백화점,Headwear,비니,BN,33887000,32959220
I,1,백화점,Headwear,와이어캡,WR,1617000,1564280
I,1,백화점,Headwear,운동모,CP,57293000,56019170
I,1,백화점,Headwear,햇,HT,464000,452900
I,1,백화점,Shoes,런닝화,RN,31592000,30049790
I,1,백화점,Shoes,방한화,WB,51735000,50471330
I,1,백화점,Shoes,스니커즈,SX,40315000,38587830
I,1,백화점,Shoes,신발,SH,95187000,92422420
I,1,백화점,과시즌의류,다운점퍼,DJ,47043000,23457700
I,1,백화점,과시즌의류,맨투맨,MT,425000,220390
I,1,백화점,과시즌의류,맨투맨셋트,S2,33831000,21699190
I,1,백화점,과시즌의류,방풍자켓,WJ,417000,208490
I,1,백화점,과시즌의류,보드바지,BP,636000,318000
I,1,백화점,과시즌의류,팬츠,PT,316000,197500
I,1,백화점,당시즌의류,니트가디건,KC,507000,354900
I,1,백화점,당시즌의류,니트풀오버,KP,2085000,2007890
I,1,백화점,당시즌의류,다운베스트,DV,12370000,11462530
I,1,백화점,당시즌의류,다운점퍼,DJ,316102000,298507730
I,1,백화점,당시즌의류,레깅스,LG,4209000,4081110
I,1,백화점,당시즌의류,맨투맨,MT,37652000,35561200
I,1,백화점,당시즌의류,맨투맨셋트,S2,92278000,88072270
I,1,백화점,당시즌의류,반팔카라티셔츠,TS,1068000,1043500
I,1,백화점,당시즌의류,반팔티 & 스웨트팬츠,S1,8576000,8282200
I,1,백화점,당시즌의류,방풍자켓,WJ,0,0
I,1,백화점,당시즌의류,스커트,SK,-287000,-296900
I,1,백화점,당시즌의류,우븐팬츠,WP,19981000,19011490
I,1,백화점,당시즌의류,원피스,OP,-89000,-89000
I,1,백화점,당시즌의류,점퍼,JP,3804000,3472300
I,1,백화점,당시즌의류,진바지,DP,5467000,5166040
I,1,백화점,당시즌의류,팬츠,PT,20606000,19407580
I,1,백화점,당시즌의류,폴라폴리스점퍼,FD,9022000,8349980
I,1,백화점,당시즌의류,폴로 티셔츠,PQ,79000,79000
I,1,백화점,당시즌의류,후드티,HD,10742000,10067380
I,1,백화점,차시즌의류,맨투맨,MT,41680000,40211180
I,1,백화점,차시즌의류,맨투맨셋트,S2,81067000,78596090
I,1,백화점,차시즌의류,반팔티 & 스웨트팬츠,S1,15782000,15213060
I,1,백화점,차시즌의류,방풍자켓,WJ,1908000,1839680
I,1,백화점,차시즌의류,스커트,SK,2823000,2765810
I,1,백화점,차시즌의류,우븐셔츠,WS,1589000,1561290
I,1,백화점,차시즌의류,우븐팬츠,WP,1572000,1528650
I,1,백화점,차시즌의류,점퍼,JP,67615000,64885210
I,1,백화점,차시즌의류,진바지,DP,6059000,5932380
I,1,백화점,차시즌의류,진자켓,DK,4429000,4275680
I,1,백화점,차시즌의류,팬츠,PT,24530000,23724080
I,1,백화점,차시즌의류,폴로 티셔츠,PQ,890000,867470
I,1,백화점,차시즌의류,후드티,HD,11719000,11346090
I,11,직영몰,Acc_etc,PET,PE,2592000,2525000
I,11,직영몰,Acc_etc,머플러(스카프),MF,59000,59000
I,11,직영몰,Acc_etc,양말,SO,481100,475460
I,11,직영몰,Acc_etc,장갑,GL,438000,433100
I,11,직영몰,Bag,가방,BG,132000,132000
I,11,직영몰,Bag,백팩,BK,43170000,42888900
I,11,직영몰,Bag,보조가방,UB,459000,448400
I,11,직영몰,Bag,슬링백,SG,474000,474000
I,11,직영몰,Bag,크로스백,CR,3133000,3087330
I,11,직영몰,Headwear,방한모,WM,2074000,2033110
I,11,직영몰,Headwear,비니,BN,4111000,4107700
I,11,직영몰,Headwear,와이어캡,WR,637000,637000
I,11,직영몰,Headwear,운동모,CP,9197000,9163910
