브랜드,유통채널,채널,직접비항목,직접비값,실판매액V-,비율
V,1,(브랜드) 백화점,지급수수료_중간관리수수료,181596.0,1645455.0,11.036217945796148
V,1,(브랜드) 백화점,지급수수료_물류용역비,8128.0,1645455.0,0.4939667143738358
V,1,(브랜드) 백화점,지급수수료_물류운송비,21406.0,1645455.0,1.3009167677025504
V,1,(브랜드) 백화점,지급수수료_이천보관료,25960.0,1645455.0,1.5776791221880877
V,1,(브랜드) 백화점,지급수수료_로열티,41136.0,1645455.0,2.499977209951047
V,3,직영점(가두),지급수수료_물류용역비,180.0,36364.0,0.4949950500494995
V,3,직영점(가두),지급수수료_물류운송비,473.0,36364.0,1.3007369926300738
V,3,직영점(가두),지급수수료_이천보관료,574.0,36364.0,1.5784842151578482
V,3,직영점(가두),지급수수료_로열티,909.0,36364.0,2.4997250027499724
V,3,직영점(가두),지급임차료_매장(변동),7636.0,36364.0,20.99879001209988
V,4,온라인(자사),지급수수료_물류용역비,898.0,181818.0,0.4939004939004939
V,4,온라인(자사),지급수수료_물류운송비,2365.0,181818.0,1.3007513007513007
V,4,온라인(자사),지급수수료_이천보관료,2869.0,181818.0,1.5779515779515778
V,4,온라인(자사),지급수수료_카드수수료,4727.0,181818.0,2.5998525998526
V,4,온라인(자사),지급수수료_로열티,4545.0,181818.0,2.4997524997525
V,5,온라인(제휴),지급수수료_물류용역비,3144.0,636364.0,0.4940568605389368
V,5,온라인(제휴),지급수수료_물류운송비,8278.0,636364.0,1.300827828098384
V,5,온라인(제휴),지급수수료_이천보관료,10040.0,636364.0,1.5777133841637803
V,5,온라인(제휴),지급수수료_카드수수료,133070.0,636364.0,20.91098805086397
V,5,온라인(제휴),지급수수료_로열티,15909.0,636364.0,2.4999842857232655
V,7,아울렛(직영),지급수수료_중간관리수수료(직영),105133.0,777273.0,13.525878295013463
V,7,아울렛(직영),지급수수료_물류용역비,3840.0,777273.0,0.4940349143737143
V,7,아울렛(직영),지급수수료_물류운송비,10111.0,777273.0,1.3008299529251628
V,7,아울렛(직영),지급수수료_이천보관료,12263.0,777273.0,1.5776953528554318
V,7,아울렛(직영),지급수수료_카드수수료,794.0,777273.0,0.10215201094081487
V,7,아울렛(직영),지급수수료_로열티,19432.0,777273.0,2.500022514611983
V,7,아울렛(직영),지급임차료_매장(변동),83960.0,777273.0,10.801867554900273
V,7,아울렛(직영),지급임차료_관리비,12053.0,777273.0,1.5506778184756191
V,11,직영(가두)2,지급수수료_중간관리수수료(직영),22503.0,177273.0,12.693980470799277
V,11,직영(가두)2,지급수수료_물류용역비,876.0,177273.0,0.49415308591832935
V,11,직영(가두)2,지급수수료_물류운송비,2306.0,177273.0,1.3008185115612643
V,11,직영(가두)2,지급수수료_이천보관료,2797.0,177273.0,1.5777924444218803
V,11,직영(가두)2,지급수수료_카드수수료,3217.0,177273.0,1.8147151568484767
V,11,직영(가두)2,지급수수료_로열티,4432.0,177273.0,2.5000987177968446
V,11,직영(가두)2,지급임차료_매장(변동),39242.0,177273.0,22.136478764391647
V,11,직영(가두)2,지급임차료_관리비,5789.0,177273.0,3.265584719613252
I,1,(브랜드) 백화점,지급수수료_중간관리수수료,407824.0,2950909.0,13.820283851518294
I,1,(브랜드) 백화점,지급수수료_물류용역비,78795.0,2950909.0,2.670194167288791
I,1,(브랜드) 백화점,지급수수료_물류운송비,17091.0,2950909.0,0.5791774670110126
I,1,(브랜드) 백화점,지급수수료_이천보관료,77687.0,2950909.0,2.6326464150538023
I,1,(브랜드) 백화점,지급수수료_로열티,112801.0,2950909.0,3.8225848374178937
I,2,(브랜드) 면세점,지급수수료_판매사원도급비(면세),97717.0,611818.0,15.971579783530396
I,2,(브랜드) 면세점,지급수수료_물류용역비,16337.0,611818.0,2.6702385349891635
I,2,(브랜드) 면세점,지급수수료_물류운송비,3544.0,611818.0,0.5792572300913017
I,2,(브랜드) 면세점,지급수수료_이천보관료,16107.0,611818.0,2.6326456560611162
I,2,(브랜드) 면세점,지급수수료_로열티,22025.0,611818.0,3.59992677560974
I,3,직영점(가두),지급수수료_판매사원도급비(직영),11486.0,110909.0,10.356237996916391
I,3,직영점(가두),지급수수료_물류용역비,2961.0,110909.0,2.6697562866854807
I,3,직영점(가두),지급수수료_물류운송비,642.0,110909.0,0.5788529334860111
I,3,직영점(가두),지급수수료_이천보관료,2920.0,110909.0,2.6327890432697076
I,3,직영점(가두),지급수수료_로열티,4325.0,110909.0,3.8995933603224264
I,3,직영점(가두),지급임차료_매장(변동),9557.0,110909.0,8.616974276208424
I,4,온라인(자사),지급수수료_물류용역비,8278.0,310000.0,2.6703225806451614
I,4,온라인(자사),지급수수료_물류운송비,1795.0,310000.0,0.5790322580645161
I,4,온라인(자사),지급수수료_이천보관료,8161.0,310000.0,2.6325806451612905
I,4,온라인(자사),지급수수료_로열티,12090.0,310000.0,3.9
I,5,온라인(제휴),지급수수료_물류용역비,23279.0,871818.0,2.6701673973237536
I,5,온라인(제휴),지급수수료_물류운송비,5049.0,871818.0,0.579134635898777
I,5,온라인(제휴),지급수수료_이천보관료,22952.0,871818.0,2.6326595688549674
I,5,온라인(제휴),지급수수료_온라인위탁판매수수료,256151.0,871818.0,29.38124700338832
I,5,온라인(제휴),지급수수료_로열티,34001.0,871818.0,3.9000112408782566
I,6,대리점,지급수수료_물류용역비,13909.0,520909.0,2.6701400820488796
I,6,대리점,지급수수료_물류운송비,3017.0,520909.0,0.5791798567504113
I,6,대리점,지급수수료_이천보관료,13714.0,520909.0,2.632705520541976
I,6,대리점,지급수수료_로열티,20348.0,520909.0,3.906248500217888
I,8,사입,지급수수료_물류용역비,18334.0,686635.0,2.670123136746598
I,8,사입,지급수수료_물류운송비,3977.0,686635.0,0.5792014680288654
I,8,사입,지급수수료_이천보관료,18077.0,686635.0,2.6326942261900426
I,8,사입,지급수수료_로열티,41198.0,686635.0,5.999985436221573
I,11,직영(가두)2,지급수수료_중간관리수수료(직영),42569.0,430000.0,9.899767441860465
I,11,직영(가두)2,지급수수료_물류용역비,11482.0,430000.0,2.670232558139535
I,11,직영(가두)2,지급수수료_물류운송비,2490.0,430000.0,0.5790697674418605
I,11,직영(가두)2,지급수수료_이천보관료,11320.0,430000.0,2.6325581395348836
I,11,직영(가두)2,지급수수료_카드수수료,5102.0,430000.0,1.1865116279069767
I,11,직영(가두)2,지급수수료_로열티,16770.0,430000.0,3.9
I,11,직영(가두)2,지급임차료_매장(변동),101365.0,430000.0,23.57325581395349
I,11,직영(가두)2,지급임차료_관리비,13483.0,430000.0,3.1355813953488374
M,1,(브랜드) 백화점,지급수수료_중간관리수수료,710697.0,6963636.0,10.20583212563092
M,1,(브랜드) 백화점,지급수수료_물류용역비,141660.0,6963636.0,2.0342820905630337
M,1,(브랜드) 백화점,지급수수료_물류운송비,50569.0,6963636.0,0.7261867219940846
M,1,(브랜드) 백화점,지급수수료_이천보관료,158870.0,6963636.0,2.2814230956356707
M,1,(브랜드) 백화점,지급수수료_로열티,316946.0,6963636.0,4.551444101903086
M,2,(브랜드) 면세점,지급수수료_판매사원도급비(면세),495964.0,7909091.0,6.2708091233240335
M,2,(브랜드) 면세점,지급수수료_물류용역비,160894.0,7909091.0,2.0342919306403227
M,2,(브랜드) 면세점,지급수수료_물류운송비,57435.0,7909091.0,0.7261896468254063
M,2,(브랜드) 면세점,지급수수료_이천보관료,180440.0,7909091.0,2.2814252611330432
M,2,(브랜드) 면세점,지급수수료_로열티,343255.0,7909091.0,4.340005697241313
