브랜드,유통채널,채널명,아이템_중분류,아이템소분류,아이템코드,판매금액(TAG가),실판매액
I,1,백화점,Acc_etc,PET,PE,925000,919180
I,1,백화점,Acc_etc,기타,ET,3093000,2964220
I,1,백화점,Acc_etc,머플러(스카프),MF,1829000,1608100
I,1,백화점,Acc_etc,양말,SO,8827000,8430130
I,1,백화점,Acc_etc,장갑,GL,4732000,4523540
I,1,백화점,Bag,가방,BG,1155000,1118990
I,1,백화점,Bag,백팩,BK,40044000,37725110
I,1,백화점,Bag,보조가방,UB,245000,240100
I,1,백화점,Bag,슬링백,SG,2607000,2502410
I,1,백화점,Bag,크로스백,CR,16421000,15480500
I,1,백화점,Bag,힙색,HS,472000,458220
I,1,백화점,Headwear,방한모,WM,42856000,40773260
I,1,백화점,Headwear,비니,BN,41396000,39242290
I,1,백화점,Headwear,와이어캡,WR,1421000,1347300
I,1,백화점,Headwear,운동모,CP,55372000,53063010
I,1,백화점,Headwear,햇,HT,1178000,1136600
I,1,백화점,Shoes,런닝화,RN,39848000,36973450
I,1,백화점,Shoes,방한화,WB,87171000,81824210
I,1,백화점,Shoes,스니커즈,SX,43656000,40733910
I,1,백화점,Shoes,신발,SH,61962000,58946620
I,1,백화점,과시즌의류,다운점퍼,DJ,175193000,87431750
I,1,백화점,과시즌의류,맨투맨,MT,1896000,987500
I,1,백화점,과시즌의류,맨투맨셋트,S2,2085000,1042460
I,1,백화점,과시즌의류,반바지,SP,-49000,-49000
I,1,백화점,과시즌의류,반팔카라티셔츠,TS,39000,29800
I,1,백화점,과시즌의류,반팔티 & 스웨트팬츠,S1,89000,62300
I,1,백화점,과시즌의류,방풍자켓,WJ,387000,270900
I,1,백화점,과시즌의류,베이비,BV,55000,55000
I,1,백화점,과시즌의류,스윔웨어,SW,-109000,-109000
I,1,백화점,과시즌의류,우븐반바지,SM,79000,79000
I,1,백화점,과시즌의류,원피스,OP,-119000,-119000
I,1,백화점,과시즌의류,점퍼,JP,4380000,2190080
I,1,백화점,과시즌의류,팬츠,PT,1975000,987500
I,1,백화점,당시즌의류,니트가디건,KC,4036000,3818300
I,1,백화점,당시즌의류,니트풀오버,KP,4587000,4275750
I,1,백화점,당시즌의류,다운베스트,DV,38402000,36060880
I,1,백화점,당시즌의류,다운점퍼,DJ,575099000,538505420
I,1,백화점,당시즌의류,레깅스,LG,10764000,10055440
I,1,백화점,당시즌의류,맨투맨,MT,123228000,115992920
I,1,백화점,당시즌의류,맨투맨셋트,S2,146461000,138116640
I,1,백화점,당시즌의류,반팔카라티셔츠,TS,3500000,3213430
I,1,백화점,당시즌의류,반팔티 & 스웨트팬츠,S1,21247000,20116740
I,1,백화점,당시즌의류,방풍자켓,WJ,2741000,2479470
I,1,백화점,당시즌의류,스커트,SK,2177000,2097800
I,1,백화점,당시즌의류,우븐셔츠,WS,20000,20000
I,1,백화점,당시즌의류,우븐팬츠,WP,53137000,49438140
I,1,백화점,당시즌의류,점퍼,JP,46831000,43431560
I,1,백화점,당시즌의류,진바지,DP,17446000,16185780
I,1,백화점,당시즌의류,팬츠,PT,63264000,59351600
I,1,백화점,당시즌의류,폴라폴리스점퍼,FD,37272000,34629700
I,1,백화점,당시즌의류,폴로 티셔츠,PQ,158000,142200
I,1,백화점,당시즌의류,후드티,HD,40155000,37931140
I,11,직영몰,Acc_etc,PET,PE,3678000,3574100
I,11,직영몰,Acc_etc,기타,ET,336000,329100
I,11,직영몰,Acc_etc,머플러(스카프),MF,59000,59000
I,11,직영몰,Acc_etc,양말,SO,826800,819430
I,11,직영몰,Acc_etc,장갑,GL,325000,313200
I,11,직영몰,Bag,가방,BG,231000,224400
I,11,직영몰,Bag,백팩,BK,4597000,4431150
I,11,직영몰,Bag,슬링백,SG,474000,456100
I,11,직영몰,Bag,크로스백,CR,1489000,1423900
I,11,직영몰,Bag,힙색,HS,236000,230100
I,11,직영몰,Headwear,방한모,WM,7834000,7696100
I,11,직영몰,Headwear,비니,BN,5158000,5034720
I,11,직영몰,Headwear,와이어캡,WR,343000,328300
I,11,직영몰,Headwear,운동모,CP,10118000,9883100
I,11,직영몰,Headwear,햇,HT,112000,106700
I,11,직영몰,Shoes,런닝화,RN,4782000,4691800
I,11,직영몰,Shoes,방한화,WB,8499000,8262690
I,11,직영몰,Shoes,스니커즈,SX,5570000,5455000
I,11,직영몰,Shoes,신발,SH,9180000,8887500
I,11,직영몰,당시즌의류,니트가디건,KC,169000,152100
I,11,직영몰,당시즌의류,니트풀오버,KP,556000,556000
I,11,직영몰,당시즌의류,다운베스트,DV,3147000,2964180
I,11,직영몰,당시즌의류,다운점퍼,DJ,48243000,45578450
I,11,직영몰,당시즌의류,레깅스,LG,552000,545100
I,11,직영몰,당시즌의류,맨투맨,MT,9041000,8704600
I,11,직영몰,당시즌의류,맨투맨셋트,S2,13748000,13240090
I,11,직영몰,당시즌의류,반팔카라티셔츠,TS,294000,294000
I,11,직영몰,당시즌의류,반팔티 & 스웨트팬츠,S1,1431000,1337850
I,11,직영몰,당시즌의류,방풍자켓,WJ,357000,345100
I,11,직영몰,당시즌의류,스커트,SK,267000,267000
I,11,직영몰,당시즌의류,우븐팬츠,WP,3652000,3398040
I,11,직영몰,당시즌의류,점퍼,JP,5217000,4956100
I,11,직영몰,당시즌의류,진바지,DP,832000,801300
I,11,직영몰,당시즌의류,팬츠,PT,5351000,5131850
I,11,직영몰,당시즌의류,폴라폴리스점퍼,FD,2673000,2530900
I,11,직영몰,당시즌의류,후드티,HD,3077000,2960080
I,2,면세점,Acc_etc,머플러(스카프),MF,5310000,5310020
I,2,면세점,Acc_etc,양말,SO,886100,886100
I,2,면세점,Acc_etc,장갑,GL,138000,138000
I,2,면세점,Bag,가방,BG,33000,33000
I,2,면세점,Bag,백팩,BK,61660000,61660000
I,2,면세점,Bag,슬링백,SG,158000,158000
I,2,면세점,Bag,크로스백,CR,176310000,176309800
I,2,면세점,Bag,힙색,HS,177000,177000
I,2,면세점,Headwear,방한모,WM,12359000,12359000
I,2,면세점,Headwear,비니,BN,41283000,41282910
I,2,면세점,Headwear,운동모,CP,28658000,28658010
I,2,면세점,Headwear,햇,HT,49000,34300
I,2,면세점,Shoes,런닝화,RN,5207000,5207000
I,2,면세점,Shoes,방한화,WB,13940000,13940000
I,2,면세점,Shoes,스니커즈,SX,15046000,15046000
I,2,면세점,Shoes,신발,SH,8425000,8425000
I,2,면세점,당시즌의류,다운베스트,DV,10752000,10752000
I,2,면세점,당시즌의류,다운점퍼,DJ,110972000,110971990
I,2,면세점,당시즌의류,맨투맨,MT,24838000,24837990
I,2,면세점,당시즌의류,맨투맨셋트,S2,7403000,7403000
I,2,면세점,당시즌의류,반팔티 & 스웨트팬츠,S1,318000,318000
I,2,면세점,당시즌의류,방풍자켓,WJ,2540000,2540000
I,2,면세점,당시즌의류,스커트,SK,198000,198000
I,2,면세점,당시즌의류,우븐팬츠,WP,2186000,2186000
I,2,면세점,당시즌의류,점퍼,JP,3504000,3504000
I,2,면세점,당시즌의류,진바지,DP,674000,674000
I,2,면세점,당시즌의류,팬츠,PT,10036000,10035980
I,2,면세점,당시즌의류,폴라폴리스점퍼,FD,3568000,3568000
I,2,면세점,당시즌의류,후드티,HD,3967000,3967000
I,3,직영점(가두),Acc_etc,PET,PE,926000,899320
I,3,직영점(가두),Acc_etc,기타,ET,105000,101100
I,3,직영점(가두),Acc_etc,머플러(스카프),MF,118000,118000
I,3,직영점(가두),Acc_etc,양말,SO,286900,286110
I,3,직영점(가두),Acc_etc,장갑,GL,92000,92000
I,3,직영점(가두),Bag,가방,BG,165000,158400
I,3,직영점(가두),Bag,백팩,BK,1582000,1582000
I,3,직영점(가두),Bag,슬링백,SG,316000,316000
I,3,직영점(가두),Bag,크로스백,CR,1637000,1621100
I,3,직영점(가두),Headwear,방한모,WM,3055000,3018700
I,3,직영점(가두),Headwear,비니,BN,4157000,4131860
I,3,직영점(가두),Headwear,와이어캡,WR,196000,196000
I,3,직영점(가두),Headwear,운동모,CP,6498000,6410210
I,3,직영점(가두),Shoes,런닝화,RN,1574000,1555200
I,3,직영점(가두),Shoes,방한화,WB,3473000,3424300
I,3,직영점(가두),Shoes,스니커즈,SX,2006000,1994200
I,3,직영점(가두),Shoes,신발,SH,3260000,3244100
I,3,직영점(가두),당시즌의류,니트가디건,KC,338000,338000
I,3,직영점(가두),당시즌의류,니트풀오버,KP,556000,546000
I,3,직영점(가두),당시즌의류,다운베스트,DV,1142000,1142000
I,3,직영점(가두),당시즌의류,다운점퍼,DJ,19041000,18887500
I,3,직영점(가두),당시즌의류,레깅스,LG,138000,138000
I,3,직영점(가두),당시즌의류,맨투맨,MT,7201000,7185100
I,3,직영점(가두),당시즌의류,맨투맨셋트,S2,6343000,6331100
I,3,직영점(가두),당시즌의류,반팔카라티셔츠,TS,98000,98000
I,3,직영점(가두),당시즌의류,반팔티 & 스웨트팬츠,S1,795000,795000
I,3,직영점(가두),당시즌의류,방풍자켓,WJ,556000,556000
I,3,직영점(가두),당시즌의류,스커트,SK,475000,475000
I,3,직영점(가두),당시즌의류,우븐팬츠,WP,1692000,1683100
I,3,직영점(가두),당시즌의류,점퍼,JP,2489000,2489000
I,3,직영점(가두),당시즌의류,진바지,DP,892000,892000
I,3,직영점(가두),당시즌의류,팬츠,PT,2202000,2192000
I,3,직영점(가두),당시즌의류,폴라폴리스점퍼,FD,1590000,1580000
I,3,직영점(가두),당시즌의류,후드티,HD,1296000,1284100
I,4,자사몰,Acc_etc,PET,PE,667000,647000
I,4,자사몰,Acc_etc,기타,ET,600000,527170
I,4,자사몰,Acc_etc,머플러(스카프),MF,59000,54390
I,4,자사몰,Acc_etc,양말,SO,825400,719850
I,4,자사몰,Acc_etc,장갑,GL,154000,138100
