브랜드,유통채널,채널,직접비항목,직접비값,실판매액V-,비율
I,1,(브랜드) 백화점,지급수수료_중간관리수수료,541908.0,3850909.0,14.07220996393319
I,1,(브랜드) 백화점,지급수수료_물류용역비,51107.0,3850909.0,1.3271412022460152
I,1,(브랜드) 백화점,지급수수료_물류운송비,30616.0,3850909.0,0.7950330688157004
I,1,(브랜드) 백화점,지급수수료_이천보관료,93466.0,3850909.0,2.427115260319057
I,1,(브랜드) 백화점,지급수수료_로열티,147204.0,3850909.0,3.822577993922993
I,2,(브랜드) 면세점,지급수수료_판매사원도급비(면세),73415.0,869091.0,8.447331752371156
I,2,(브랜드) 면세점,지급수수료_물류용역비,11375.0,869091.0,1.3088387752260695
I,2,(브랜드) 면세점,지급수수료_물류운송비,6814.0,869091.0,0.784037574891467
I,2,(브랜드) 면세점,지급수수료_이천보관료,20803.0,869091.0,2.3936503772332243
I,2,(브랜드) 면세점,지급수수료_로열티,31287.0,869091.0,3.599968242681146
I,3,직영점(가두),지급수수료_판매사원도급비(직영),10156.0,185455.0,5.476261087595374
I,3,직영점(가두),지급수수료_물류용역비,2427.0,185455.0,1.3086732630557278
I,3,직영점(가두),지급수수료_물류운송비,1454.0,185455.0,0.7840176862311612
I,3,직영점(가두),지급수수료_이천보관료,4438.0,185455.0,2.393033350408455
I,3,직영점(가두),지급수수료_로열티,7233.0,185455.0,3.900137499662991
I,3,직영점(가두),지급임차료_매장(변동),15981.0,185455.0,8.617184761802054
I,4,온라인(자사),지급수수료_물류용역비,18417.0,350000.0,5.2620000000000005
I,4,온라인(자사),지급수수료_이천보관료,9709.0,350000.0,2.774
I,4,온라인(자사),지급수수료_로열티,13650.0,350000.0,3.9
I,5,온라인(제휴),지급수수료_물류용역비,55739.0,1059091.0,5.262909419492753
I,5,온라인(제휴),지급수수료_물류운송비,7408.0,1059091.0,0.699467751118648
I,5,온라인(제휴),지급수수료_이천보관료,29386.0,1059091.0,2.774643538657207
I,5,온라인(제휴),지급수수료_온라인위탁판매수수료,311174.0,1059091.0,29.38123352950785
I,5,온라인(제휴),지급수수료_로열티,41305.0,1059091.0,3.900042583687332
I,6,대리점,지급수수료_물류용역비,11304.0,850909.0,1.3284616803912053
I,6,대리점,지급수수료_물류운송비,6772.0,850909.0,0.7958547858819215
I,6,대리점,지급수수료_이천보관료,20674.0,850909.0,2.429637011713356
I,6,대리점,지급수수료_로열티,33238.0,850909.0,3.90617563100167
I,8,사입,지급수수료_물류용역비,1192.0,90909.0,1.3112013112013112
I,8,사입,지급수수료_물류운송비,714.0,90909.0,0.7854007854007854
I,8,사입,지급수수료_이천보관료,2181.0,90909.0,2.399102399102399
I,8,사입,지급수수료_로열티,5455.0,90909.0,6.000506000506
I,11,직영(가두)2,지급수수료_중간관리수수료(직영),56034.0,366364.0,15.294625017741916
I,11,직영(가두)2,지급수수료_물류용역비,4886.0,366364.0,1.33364631896147
I,11,직영(가두)2,지급수수료_물류운송비,2928.0,366364.0,0.7992051620792436
I,11,직영(가두)2,지급수수료_이천보관료,8939.0,366364.0,2.4399231365527183
I,11,직영(가두)2,지급수수료_카드수수료,4347.0,366364.0,1.1865248768983852
I,11,직영(가두)2,지급수수료_로열티,14288.0,366364.0,3.8999465012937953
I,11,직영(가두)2,지급임차료_매장(변동),87362.0,366364.0,23.845683527857542
I,11,직영(가두)2,지급임차료_관리비,13483.0,366364.0,3.680219672238539
M,1,(브랜드) 백화점,지급수수료_중간관리수수료,741538.0,7590909.0,9.768764188847475
M,1,(브랜드) 백화점,지급수수료_물류용역비,142308.0,7590909.0,1.8747161901163614
M,1,(브랜드) 백화점,지급수수료_물류운송비,50477.0,7590909.0,0.6649664750295387
